"",1,2,3,4,5,6,7,8,9,10,11,12,13,
"",,,KOT AMEER SHAH,255010101,-,-,,210,180,390,,,,
93,1,Government Boys Elementary School Kot Amir Shah,KOT AMEER SHAH,255010102,-,-,,549,445,994,2,2,4,Combined
"",,,,,-,-,,759,625,1384,,,,
"",,,KOT AMEER SHAH,255010103,-,-,,431,327,758,,,,
93,2,Government Boys Elementary School Kot Amir Shah,KOT AMEER SHAH,255010104,-,-,,292,196,488,2,1,3,Combined
"",,,,,-,-,,723,523,1246,,,,
"",,,VINOKA,255010201,-,-,,480,281,761,,,,
93,3,Government Girls Primary School Shamlaat Vinoka,,,,,,,,,1,1,2,Combined
"",,,,,-,-,,480,281,761,,,,
"",,,VINOKA,255010202,-,-,,219,158,377,,,,
"",,,VINOKA,255010203,-,-,,204,183,387,,,,
93,4,Government Girls Commounity Model Primary School Vinoka,,,,,,,,,2,1,3,Combined
"",,,VINOKA,255010204,-,-,,179,146,325,,,,
"",,,,,-,-,,602,487,1089,,,,
"",,,VINOKA,255010205,-,-,,162,139,301,,,,
"",,,VINOKA,255010206,-,-,,321,321,642,,,,
93,5,Government Boys Primary School Vinoka,,,,,,,,,2,2,4,Combined
"",,,VINOKA,255010207,-,-,,158,122,280,,,,
"",,,,,-,-,,641,582,1223,,,,
"",,,VINOKA,255010208,-,-,,654,441,1095,,,,
93,6,Girls Comunity Elementary School Vinoka,,,,,,,,,1,1,2,Combined
"",,,,,-,-,,654,441,1095,,,,
"",,,WALLAH,255010301,-,-,,372,271,643,,,,
93,7,Government Boys High School Wallah,WALLAH,255010303,-,-,,442,364,806,2,2,4,Combined
"",,,,,-,-,,814,635,1449,,,,
"",,,WALLAH,255010304,-,-,,562,0,562,,,,
93,8,Government Girls  Elementry School Wallah,WALLAH,255010305,-,-,,550,0,550,2,0,2,Male
"",,,,,-,-,,1112,0,1112,,,,
"",,,WALLAH,255010304,-,-,,0,495,495,,,,
93,9,Government Girls  Elementry School Wallah,WALLAH,255010305,-,-,,0,427,427,0,2,2,Female
"",,,,,-,-,,0,922,922,,,,
"",,,WALLAH,255010302,-,-,,266,220,486,,,,
"",,,WALLAH,255010306,-,-,,320,203,523,,,,
93,10,Government Boys High School Wallah,,,,,,,,,2,2,4,Combined
"",,,WALLAH,255010307,-,-,,381,245,626,,,,
"",,,,,-,-,,967,668,1635,,,,
"",,,SANGRA,255010401,-,-,,0,241,241,,,,
"",,,SANGRA,255010402,-,-,,0,172,172,,,,
93,11,"Government Girls  Elementry School, Sanghra",,,,,,,,,2,0,2,Female
"",,,SANGRA,255010403,-,-,,0,511,511,,,,
"",,,,,-,-,,0,924,924,,,,
"",,,SANGRA,255010401,-,-,,307,0,307,,,,
"",,,SANGRA,255010402,-,-,,260,0,260,,,,
93,12,Basic Health Center Sangra,,,,,,,,,0,2,2,Male
"",,,SANGRA,255010403,-,-,,592,0,592,,,,
"",,,,,-,-,,1159,0,1159,,,,
"",,,SANGRA,255010404,-,-,,334,222,556,,,,
93,13,Government Boys Primary School Sanghra,SANGRA,255010405,-,-,,278,196,474,2,1,3,Combined
"",,,,,-,-,,612,418,1030,,,,
"",,,NORANGAY WALA,255010406,-,-,,356,338,694,,,,
93,14,Government Boys High School Yaray Kay,YARAY KAY,255010407,-,-,,406,349,755,2,2,4,Combined
"",,,,,-,-,,762,687,1449,,,,
"",,,DAWAR,255010501,-,-,469,0,469,,,,
93,15,Government Boys Primary School Dawar,DAWAR,255010502,-,-,633,0,633,2,0,2,Male
"",,,,,-,-,1102,0,1102,,,,
"",,,DAWAR,255010501,-,-,0,417,417,,,,
93,16,Government Boys Primary School Dawar,DAWAR,255010502,-,-,0,492,492,0,2,2,Female
"",,,,,-,-,0,909,909,,,,
"",,,DAWAR,255010503,-,-,264,217,481,,,,
"",,,DAWAR,255010504,-,-,464,389,853,,,,
93,17,Government Girls Community Model School Dawar,,,,,,,,2,2,4,Combined
"",,,MOGALAY WALA,255010505,-,-,99,82,181,,,,
"",,,,,-,-,827,688,1515,,,,
"",,,YAKAY KI,255010506,-,-,432,349,781,,,,
93,18,Government Boys Primary School YakeyKay,YAKAY KI,255010507,-,-,237,169,406,2,1,3,Combined
"",,,,,-,-,669,518,1187,,,,
"",,,JABANA,255010601,-,-,180,0,180,,,,
"",,,JABANA,255010602,-,-,572,0,572,,,,
93,19,Government Boys Primary School  Jabana,JABANA,255010603,-,-,435,0,435,3,0,3,Male
"",,,JABANA,255010604,-,-,235,0,235,,,,
"",,,,,-,-,1422,0,1422,,,,
"",,,JABANA,255010601,-,-,0,129,129,,,,
"",,,JABANA,255010602,-,-,0,394,394,,,,
93,20,Government Girls  Elementry School Jabana,JABANA,255010603,-,-,0,413,413,0,2,2,Female
"",,,JABANA,255010604,-,-,0,173,173,,,,
"",,,,,-,-,0,1109,1109,,,,
"",,,BAHAOUDIN,255010605,-,-,486,348,834,,,,
93,21,Government Girls Primary School Bahaudin,BAHAOUDIN,255010606,-,-,333,298,631,2,2,4,Combined
"",,,,,-,-,819,646,1465,,,,
"",,,CHHANNI KHHICHI,255010701,-,-,315,0,315,,,,
"",,,CHHANNI KHHICHI,255010702,-,-,478,0,478,,,,
"",,,CHHANNI KHHICHI,255010703,-,-,521,0,521,,,,
93,22,"Government Girls Primary School, Jhalar Mehar Shah",,,,,,,,3,0,3,Male
"",,,CHAK MATHRUMA PACCA,255010704,-,-,131,0,131,,,,
"",,,Jhalar Mehar Shah,255010910,-,-,74,0,74,,,,
"",,,,,-,-,1519,0,1519,,,,
"",,,CHHANNI KHHICHI,255010701,-,-,0,321,321,,,,
"",,,CHHANNI KHHICHI,255010702,-,-,0,354,354,,,,
"",,,CHHANNI KHHICHI,255010703,-,-,0,399,399,,,,
93,23,Government Model  Primary School Kichia,,,,,,,,0,3,3,Female
"",,,CHAK MATHRUMA PACCA,255010704,-,-,0,67,67,,,,
"",,,Jhalar Mehar Shah,255010910,-,-,0,62,62,,,,
"",,,,,-,-,0,1203,1203,,,,
"",,,KALAS,255010801,-,-,477,377,854,,,,
93,24,Government Girls Primary School Kalas,KALAS,255010802,-,-,401,287,688,2,2,4,Combined
"",,,,,-,-,878,664,1542,,,,
"",,,SALOLKAY,255010803,-,-,364,290,654,,,,
93,25,Government Boys Primary School Salolkay,SALOLKAY,255010804,-,-,483,410,893,2,2,4,Combined
"",,,,,-,-,847,700,1547,,,,
"",,,KHARKAN,255010901,-,-,488,346,834,,,,
"",,,Jhalar Wahab Shah,255010909,-,-,49,31,80,,,,
93,26,Government Boys Primary School Kharkan,,,,,,,,1,1,2,Combined
"",,,CHAK MATHROOMA KHAM,255010911,-,-,0,0,0,,,,
"",,,,,-,-,537,377,914,,,,
